fileName,variableName,description,unitText
joined_ships.csv,fna,NA,NA
joined_ships.csv,starshipID,NA,NA
joined_ships.csv,ome,NA,NA
joined_ships.csv,gff3,NA,NA
joined_ships.csv,genus,NA,NA
joined_ships.csv,species,NA,NA
joined_ships.csv,strain,NA,NA
joined_ships.csv,version,NA,NA
joined_ships.csv,biosample,NA,NA
joined_ships.csv,assembly_acc,NA,NA
joined_ships.csv,acquisition_date,NA,NA
joined_ships.csv,genomeSource,NA,NA
joined_ships.csv,published,NA,NA
joined_ships.csv,clade,NA,NA
joined_ships.csv,kingdom,NA,NA
joined_ships.csv,phylum,NA,NA
joined_ships.csv,subphylum,NA,NA
joined_ships.csv,class,NA,NA
joined_ships.csv,subclass,NA,NA
joined_ships.csv,order,NA,NA
joined_ships.csv,family,NA,NA
joined_ships.csv,subfamily,NA,NA
joined_ships.csv,suborder,NA,NA
joined_ships.csv,superfamily,NA,NA
joined_ships.csv,tribe,NA,NA
joined_ships.csv,evidence,NA,NA
joined_ships.csv,source,NA,NA
joined_ships.csv,#contigID,NA,NA
joined_ships.csv,captainID,NA,NA
joined_ships.csv,elementBegin,NA,NA
joined_ships.csv,elementEnd,NA,NA
joined_ships.csv,size,NA,NA
joined_ships.csv,strand,NA,NA
joined_ships.csv,boundaryType,NA,NA
joined_ships.csv,emptySiteID,NA,NA
joined_ships.csv,emptyContig,NA,NA
joined_ships.csv,emptyBegin,NA,NA
joined_ships.csv,emptyEnd,NA,NA
joined_ships.csv,emptySeq,NA,NA
joined_ships.csv,upDR,NA,NA
joined_ships.csv,downDR,NA,NA
joined_ships.csv,DRedit,NA,NA
joined_ships.csv,upTIR,NA,NA
joined_ships.csv,downTIR,NA,NA
joined_ships.csv,TIRedit,NA,NA
joined_ships.csv,nestedInside,NA,NA
joined_ships.csv,containNested,NA,NA
joined_ships.csv,dr,NA,NA
joined_ships.csv,tir,NA,NA
joined_ships.csv,starship_family,NA,NA
joined_ships.csv,starship_navis,NA,NA
joined_ships.csv,starship_haplotype,NA,NA
joined_ships.csv,code,NA,NA
joined_ships.csv,target,NA,NA
joined_ships.csv,spok,NA,NA
joined_ships.csv,ars,NA,NA
joined_ships.csv,other,NA,NA
joined_ships.csv,hgt,NA,NA
joined_ships.csv,taxid,NA,NA
joined_ships.csv,superkingdom,NA,NA
joined_ships.csv,subkingdom,NA,NA
joined_ships.csv,checksum,NA,NA
ships_with_anno.csv,starshipID,NA,NA
ships_with_anno.csv,fna,NA,NA
ships_with_anno.csv,gff3,NA,NA
ships_with_anno.csv,genus,NA,NA
ships_with_anno.csv,species,NA,NA
