title,description,datePublished,citation,keywords
aaoarx1,NA,NA,"Haridas S et al.,2020",NA
abobie2,NA,NA,"Hage H et al.,2021",NA
absgla1,NA,NA,2016/04/11,NA
absrep1,NA,NA,"Mondo SJ et al.,2017",NA
acaing1,NA,NA,"Kijpornyongpan T et al.,2018",NA
acastr1,NA,NA,"McDonald TR et al.,2013",NA
acemac1,NA,NA,"Miyauchi S et al.,2020",NA
aciric2,NA,NA,"Mosier AC et al.,N/D",NA
acisp.1,NA,NA,2016/02/24,NA
acrchr1,NA,NA,"Terfehr D et al.,2014",NA
actamb1,NA,NA,2020/12/16,NA
actamb2,NA,NA,2020/11/16,NA
actamb3,NA,NA,2020/12/08,NA
actwol1,NA,NA,2020/12/16,NA
actwol2,NA,NA,2020/12/16,NA
agabis1,NA,NA,2020/10/02,NA
agabis2,NA,NA,2012/10/01,NA
agabis3,NA,NA,"Morin_E_et_al.,2012",NA
agraeg1,NA,NA,2020/01/18,NA
agrped1,NA,NA,"Ruiz-Dueñas FJ et al.,2020",NA
akalec1,NA,NA,2016/05/04,NA
akalec2,NA,NA,2016/05/27,NA
alefal1,NA,NA,2021/03/19,NA
altalt4,NA,NA,"Mesny F et al.,2021",NA
altalt5,NA,NA,"Zeiner CA et al.,N/D",NA
altatr1,NA,NA,2021/05/11,NA
altbur1,NA,NA,2020/05/11,NA
altpan1,NA,NA,2021/08/20,NA
altros1,NA,NA,"Mesny F et al.,2021",NA
altsp.4,NA,NA,2018/09/18,NA
amabis1,NA,NA,1,NA
amabru1,NA,NA,1,NA
amacit2,NA,NA,1,NA
amaino1,NA,NA,1,NA
amajac1,NA,NA,1,NA
amamus4,NA,NA,1,NA
amamus5,NA,NA,1,NA
amamus6,NA,NA,1,NA
amapha1,NA,NA,1,NA
amapol1,NA,NA,1,NA
amapse1,NA,NA,1,NA
amareg1,NA,NA,1,NA
amarub1,NA,NA,"Miyauchi S et al.,2020",NA
amathi1,NA,NA,"Hess J et al.,2014~Chaib De Mares M et al.,2015",NA
ambphi1,NA,NA,"Krassowski T et al.,2018",NA
amnlig1,NA,NA,"Haridas S et al.,2020",NA
amores1,NA,NA,2018/03/27,NA
ampqui1,NA,NA,"Haridas S et al.,2020",NA
ampsp.1,NA,NA,"Mikhailov KV et al.,2017",NA
ampsp.2,NA,NA,1,NA
ampsp.3,NA,NA,1,NA
amycha1,NA,NA,"Looney B et al.,2021",NA
amyenc1,NA,NA,"Hagestad OC et al.,2021",NA
amylap1,NA,NA,"Hage H et al.,2021",NA
anarob1,NA,NA,"Haitjema CH et al.,2017~Mondo SJ et al.,2017",NA
annalg1,NA,NA,2013/04/30,NA
annalg2,NA,NA,2013/04/30,NA
annbov1,NA,NA,"Franco MEE et al.,2021",NA
annmae1,NA,NA,"Franco MEE et al.,2021",NA
annmin1,NA,NA,"Franco MEE et al.,2021",NA
annmor1,NA,NA,"Franco MEE et al.,2021",NA
annnit1,NA,NA,"Franco MEE et al.,2021",NA
annsty1,NA,NA,"Franco MEE et al.,2021",NA
anntru1,NA,NA,"Franco MEE et al.,2021",NA
antflo1,NA,NA,2013/06/27,NA
antflo2,NA,NA,2019/08/23,NA
antloc1,NA,NA,"Slamovits CH et al.,2004~Corradi N et al.,2007",NA
antser1,NA,NA,"Hage H et al.,2021",NA
apipor1,NA,NA,2018/12/12,NA
aplpru1,NA,NA,"Haridas S et al.,2020",NA
apooss1,NA,NA,2020/10/02,NA
aposp.1,NA,NA,2020/12/16,NA
