tip	superfam
leisp.1_1338902	Phoenix
rusear1_1273445	Phoenix
hypsp.2_644004	Phoenix
guynec1_997316_937336	Phoenix
polsqu1_536378	Phoenix
tepsp.1_KAG6829646.1_KAG6829647.1	Phoenix
crypar1_KAF3763489.1	Phoenix
monsp.2_RYP22820.1	Phoenix
consp.1_1039156	Phoenix
consp.1_662629	Phoenix
monsp.2_RYP34851.1	Phoenix
madmyc1_955	Phoenix
monsp.3_RYP20312.1	Phoenix
spoins1_7186	Phoenix
crydep1_ODN97795.1	Phoenix
fusver6_tyr6875	Phoenix
triasp2_28945	Phoenix
xylsp.2_523567_536667	Phoenix
monibe1_RYO96122.1	Phoenix
fusgad1_KAF4947046.1	Phoenix
fustri4_tyr6766	Phoenix
moncan1_tyr8276	Phoenix
monsp.3_tyr8335	Phoenix
moelib1_2937_2938	Phoenix
metacr1_8233	Phoenix
metgui1_tyr8174	Phoenix
hirmin1_tyr7282	Phoenix
valmal3_tyr10655	Phoenix
micbol1_226188	Phoenix
mictri1_300110	Phoenix
mictri1_377953	Phoenix
fusbur1_tyr5341	Phoenix
stacha1_2942	Phoenix
durrog1_292270	Phoenix
triaru1_7814	Phoenix
triham1_3351	Phoenix
elagra2_tyr4880	Phoenix
fusfus28_tyr5695	Phoenix
fusman2_tyr6048	Phoenix
fushae3_tyr5936	Phoenix
fusbur1_tyr5345	Phoenix
fusfus39_tyr5762	Phoenix
clorhi1_VUC06060.1	Phoenix
fuskur1_RMI94325.1	Phoenix
fussol2_tyr6622	Phoenix
fusbra1_tyr5309	Phoenix
fusven3_tyr6863	Phoenix
fusoxy45_KAG7413195.1	Phoenix
fustuc1_tyr6790	Phoenix
stacha2_KFA55155.1	Phoenix
stacha3_KEY73861.1	Phoenix
fusfus31_tyr5721	Phoenix
metrob3_EFY94016.1	Phoenix
trihar4_48485_396645	Phoenix
beabas1_7480	Phoenix
fusfus24_tyr5659	Phoenix
leclec1_6749	Phoenix
dalsp.1_361367	Phoenix
xylcf.1_526122	Phoenix
colsoj1_KAF6812414.1	Phoenix
dacmac1_34260	Phoenix
fusfus38_tyr5754	Phoenix
golmag1_tyr7146	Phoenix
fusfal1_tyr5526	Phoenix
bothya1_tyr3649	Phoenix
cadsp.1_443130	Phoenix
cadsp.1_437647_620720_620728	Phoenix
lepsp.1_451448	Phoenix
phisub1_tyr9118	Phoenix
rhesp.1_375297	Phoenix
zalvar1_689006	Phoenix
lepsp.1_560113_646570	Phoenix
lepsp.1_674126	Phoenix
lepsp.1_739939	Phoenix
leosp.1_206943_730274	Phoenix
lepsp.1_734986	Phoenix
lepsp.1_tyr7902	Phoenix
rhesp.1_195900	Phoenix
melbic1_634125	Phoenix
parpol1_3559	Phoenix
parpol1_tyr8652	Phoenix
parpol1_tyr8651	Phoenix
psedes1_5938	Phoenix
psesp.11_OBT51882.1_OBT51880.1	Phoenix
psesp.13_tyr9350	Phoenix
psesp.13_KFX93134.1	Phoenix
psesp.11_OBT54041.1	Phoenix
hirmin1_5623	Phoenix
metacr1_9370	Phoenix
metani1_5588	Phoenix
metmaj1_1405	Phoenix
metrob3_EFZ00634.1	Phoenix
torhem1_1768	Phoenix
phamin1_EOO01307.1	Phoenix
stachl1_3593	Phoenix
dacest1_591128_591130	Phoenix
fuscir3_tyr5364	Phoenix
fusoxy42_ENH71189.1	Phoenix
fusxyl4_KAG5801712.1	Phoenix
fusxyl9_tyr7052	Phoenix
fuscom2_tyr5400	Phoenix
cadsp.1_440977_440967_440971_440978	Phoenix
cudaci1_KAF4633412.1	Phoenix
zalvar1_538602	Phoenix
monfru1_KAA8574662.1	Phoenix
monfru3_KAG4027417.1	Phoenix
monlax1_KAB8302114.1	Phoenix
lacari1_TVY17613.1_TVY17612.1	Phoenix
lachya1_TVY29336.1	Phoenix
psesp.15_KFY65136.1	Phoenix
venech1_RDL30427.1_RDL30426.1	Phoenix
scylig1_RFU28318.1	Phoenix
amores1_PSS18505.1	Phoenix
fusalb2_tyr5195	Phoenix
moncan1_RYO82366.1	Phoenix
fusvan1_EEU40131.1	Phoenix
metgui1_4539	Phoenix
coltof2_tyr4412	Phoenix
dalgra1_449726	Phoenix
xylsp.14_291070_291074	Phoenix
metrob3_EFZ04323.1	Phoenix
isafum1_tyr7682	Phoenix
kredeu2_484721	Phoenix
kredeu2_tyr7716	Phoenix
dalgra1_438190	Phoenix
phicur1_TPX11403.1	Phoenix
spoins1_661	Phoenix
spoins1_7220	Phoenix
mictri1_377759	Phoenix
spobra1_10170_10169	Phoenix
monsp.8_RYP61190.1	Phoenix
crypar1_KAF3763523.1	Phoenix
rutsp.2_PQE09269.1	Phoenix
rutsp.2_PQE27491.1	Phoenix
botcon1_TGO45211.1_TGO45212.1	Phoenix
monfru1_KAA8565543.1	Phoenix
rutsp.1_PQE11730.1	Phoenix
rutsp.1_PQE28656.1	Phoenix
rutsp.2_PQE07086.1	Phoenix
sclcep1_KAF7865656.1	Phoenix
botacl1_KAF7955521.1	Phoenix
botpae1_TGO22912.1	Phoenix
psedes1_tyr9258	Phoenix
psesp.4_tyr9585	Phoenix
blagil1_OAT05240.1_OAT05241.1_OAT05242.1	Phoenix
